Firm_ID,Step,Revenue,Variable_Costs,Carbon_Costs,Abatement_Costs,Profit
CE_F168,0,138571612.34983912,210442860.0,118862193.45483798,-14640108400000.0,-71871247.65016088
CE_F168,1,138571612.34983912,210442860.0,124561126.91636413,0.0,-71871247.65016088
CE_F168,2,138571612.34983912,210442860.0,130505104.82312274,0.0,-71871247.65016088
CE_F168,3,138571612.34983912,210442860.0,130077485.13913248,0.0,-71871247.65016088
CE_F168,4,138571612.34983912,210442860.0,17116651.932133127,0.0,-71871247.65016088
CE_F168,5,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,6,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,7,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,8,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,9,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,10,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F168,11,138571612.34983912,210442860.0,0.0,0.0,-71871247.65016088
CE_F79 ,0,1010676444.6834792,1390266900.0,20342744011.17336,-96718205300000.0,-31631553282.950157
CE_F79 ,1,1010676444.6834792,1390266900.0,21318091522.226868,0.0,-33042082114.159786
CE_F79 ,2,1010676444.6834792,1390266900.0,22335377317.236225,0.0,-34586166089.97029
CE_F79 ,3,1010676444.6834792,1390266900.0,22262329441.05799,0.0,-36204376285.51806
CE_F79 ,4,1010676444.6834792,1390266900.0,22702279985.617836,0.0,-37900185266.687294
CE_F79 ,5,1010676444.6834792,1390266900.0,22984826914.699833,0.0,-39677243203.67811
CE_F79 ,6,1010676444.6834792,1390266900.0,24082163294.195312,0.0,-41539383473.56169
CE_F79 ,7,1010676444.6834792,1390266900.0,25231839981.967537,0.0,-43490629366.39077
CE_F79 ,8,1010676444.6834792,1390266900.0,26436351171.747234,0.0,-45535201666.04845
CE_F79 ,9,1010676444.6834792,1390266900.0,27508220335.73542,0.0,-47677526972.18452
CE_F79 ,10,1010676444.6834792,1390266900.0,28673453007.883957,0.0,-49922246685.45848
CE_F79 ,11,1010676444.6834792,1390266900.0,29922023908.864628,0.0,-52274226612.553246
CE_F22 ,0,288598249.54295796,418339620.0,4460563895.939814,-29103086500000.0,-6872526042.797266
CE_F22 ,1,288598249.54295796,418339620.0,4674428844.120377,0.0,-7176918291.804901
