step,price,quantity,side
1,4874.128981134933,40135.878000000026,buy
1,4872.5485537995755,105784.16399999964,buy
1,4861.376562378321,68594.74200000009,buy
1,4859.087064756846,12389.111999999965,buy
1,4852.601548669582,43660.242000000086,buy
1,4846.925573641927,98063.29799999995,buy
1,4842.3981738283455,20407.589999999967,buy
1,4840.634917318784,479393.63999999966,buy
1,4838.208478889361,11324.12400000001,buy
1,4835.706685087118,28497.80700000003,buy
1,4833.938137832263,132171.42599999998,buy
1,4824.490644918713,299613.2490049545,buy
1,4823.069687630473,12547.98000000004,buy
1,4821.792816386828,86069.84399999958,buy
1,4821.57819912828,25773.074999999953,buy
1,4816.4359496500065,468722.433435658,buy
1,4816.3150027253,141706.20600000024,buy
1,4815.362215155634,39410.49600000004,buy
1,4810.0936666271,11018.888999999996,buy
1,4800.7671629098995,38105.747999999905,buy
1,4800.1165796913,13368.150000000023,buy
1,4799.923831363023,38580.98399999994,buy
1,4797.493588405969,735571.5840000007,buy
1,4789.390675846729,26032.967999999993,buy
1,4762.768185178324,103236.4439999999,buy
1,4757.4762525078895,33525.62999999995,buy
1,4754.669687563864,341496.00981651805,buy
1,4744.159786322202,82955.84399999958,buy
1,4733.7109139561,39008.304000000004,buy
1,4732.149953088678,16698.023999999918,buy
1,4730.815614369769,156783.15000000037,buy
1,4726.27765047665,25453.92600004049,buy
1,4725.460171814122,16105.580999999947,buy
1,4724.9860371880495,12668.679000000004,buy
1,4724.43232954418,23662.35900000017,buy
1,4702.091022965776,57803.43600000028,buy
1,4701.616471253744,19568.493000000002,buy
1,4701.141940676258,16001.910000000018,buy
1,4700.667430561576,57628.85400000005,buy
1,4700.192940909699,6490.737000000001,buy
1,4699.718471049031,8660.73600000004,buy
1,4699.244022322793,33921.378,buy
1,4698.7695940593585,5565.357,buy
1,4696.872084962246,25563.024000000005,buy
1,4696.397758341471,35460.77399999999,buy
1,4696.326687584454,110397.54600000009,buy
1,4695.923452854922,18741.168000000005,buy
1,4695.449167831179,32799.492,buy
1,4694.97490327024,16685.217000000004,buy
1,4691.181522101546,23228.43300000001,buy
1,4690.7074410348605,21577.68899999999,buy
1,4682.973764679138,5791.582440000013,buy
1,4678.722283572248,38396.68200000003,buy
1,4675.547667375234,22995.540000000037,buy
1,4675.0742622524085,11716.776000000013,buy
1,4674.600876922326,81482.38199999975,buy
1,4674.127512725139,46185.443999999436,buy
1,4673.654168990757,11136.599999999977,buy
1,4673.18084571918,18404.23499999987,buy
1,4672.707542240461,43521.083999999915,buy
1,4672.234259894523,46978.66799999995,buy
1,4671.760998011387,66660.88500000024,buy
1,4671.287756591058,76178.85300000152,buy
1,4670.814534963703,131719.9679999994,buy
1,4670.341334469011,25894.56600000005,buy
1,4669.868154437123,37450.791000000085,buy
1,4669.578018156282,136904.6519999993,buy
1,4669.394994198298,69388.91999999993,buy
1,4668.9218550920505,59847.61499999999,buy
1,4668.448736448606,53226.3600000001,buy
1,4667.975638267965,109637.31599999988,buy
1,4667.502559880504,19567.440000000002,buy
1,4667.029502625502,56023.88400000008,buy
1,4666.556465833306,113567.93999999994,buy
1,4666.083449503913,21409.86600000004,buy
1,4665.610452967815,82541.78099999996,buy
1,4665.137477564061,29652.939000000362,buy
1,4664.66452262311,17991.179999999993,buy
1,4664.191588144967,54820.232999999775,buy
1,4663.718673460232,16514.900999999954,buy
1,4663.6763818670825,535287.4027473377,buy
1,4663.462124336203,102922.8479999993,buy
1,4663.245779907726,10920.906000000017,buy
1,4662.772906818024,119855.9700000002,buy
1,4662.300054191126,64939.34700000007,buy
1,4661.827221357756,62902.710000000196,buy
1,4661.3544096564965,38054.90699999989,buy
1,4660.881618418042,23071.041000000085,buy
1,4660.408846973201,23286.653999999864,buy
1,4659.936096660385,28065.581999999937,buy
1,4659.508297230888,22799.68200000003,buy
1,4659.463366810374,78370.01099999994,buy
1,4658.990657423167,56263.82399999956,buy
1,4658.517967829689,39917.39400000009,buy
1,4658.045299368121,55064.58299999987,buy
1,4657.572651369356,146414.70900000026,buy
1,4657.100023833398,51768.44999999972,buy
1,4656.627416091283,14485.176000000036,buy
1,4656.154829480962,125557.96499999939,buy
1,4655.682263333447,13471.919999999984,buy
1,4655.604977321658,150841.8719999995,buy
1,4655.209717648734,37812.55500000005,buy
1,4654.737191757983,89943.2370000002,buy
1,4654.264686998909,65990.48400000017,buy
1,4653.792202702641,228892.76999999955,buy
1,4653.319738869177,28995.840000000084,buy
1,4652.84729482979,99118.08000000007,buy
1,4652.374871921964,285813.2249999996,buy
1,4651.902469476942,46045.76399999997,buy
1,4651.430086826085,139026.6900000004,buy
1,4650.957725306703,43163.87400000007,buy
1,4650.485384250124,65991.00599999959,buy
1,4650.01306365635,102201.20999999996,buy
1,4649.540762856855,17680.752000000095,buy
1,4645.956022571798,44805.330000000075,buy
1,4644.808771919667,60979.39199999999,buy
1,4643.689892151524,42078.57299999986,buy
1,4642.036552523527,24106.572000000044,buy
1,4627.535417938614,80516.84399999958,buy
1,4625.984750023095,41833.961999999825,buy
1,4612.548264590081,26031.545999999973,buy
1,4604.030119416483,35416.06200000015,buy
1,4599.943246951409,31796.532000000123,buy
1,4582.833075964518,31555.566000000108,buy
1,4573.673288100082,78747.87599999993,buy
1,4572.737379004193,65277.53099999996,buy
1,4549.481071591335,46396.439999999944,buy
1,4548.578081751399,81616.63500022516,buy
1,4546.669778038313,58491.05399999954,buy
1,4539.464083030444,68409.27000000048,buy
1,4534.000807142281,218887.94214831432,buy
1,4527.597868183818,453786.99002063554,buy
1,4524.00560578603,24930.423000000068,buy
1,4522.6408287178165,14961.473999999987,buy
1,4512.271367590269,2328.703649999996,buy
1,4501.309378642688,70062.58799999952,buy
1,4496.873688631853,93278.00700000022,buy
1,4488.166586967355,15386.012999999919,buy
1,4480.046989332666,33083.67600001185,buy
1,4479.526224510772,85877.58599999966,buy
1,4473.716892752885,72280.8180000002,buy
1,4470.403714772816,60883.19999999995,buy
1,4466.896849549935,10204.712999999989,buy
1,4459.770541213509,20311.803000000014,buy
1,4442.688657956004,51509.9160000002,buy
1,4441.500943402694,3469.809150000001,buy
1,4434.369340429474,36664.88399999996,buy
1,4426.332138825438,30396.69000000006,buy
1,4426.324383986349,88033.78799999994,buy
1,4426.164942627164,193134.68999999855,buy
1,4418.314779473816,7806.267000000022,buy
1,4408.857880213616,97032.51000000024,buy
1,4403.7047574106045,8598.348000000056,buy
1,4392.237864979434,115699.95000000019,buy
1,4374.604472652961,37886.328000000096,buy
1,4370.553071025179,41320.908000000054,buy
1,4364.176154409435,88938.41399999987,buy
1,4361.625190555448,111934.30500002159,buy
1,4360.682831494452,13748.012999999919,buy
1,4354.858038789667,23449.96800000011,buy
1,4349.476433982113,56000.80799999973,buy
1,1500.0,50.0,buy
1,20000.0,50.0,sell
2,5107.822605146156,80271.75600000005,buy
2,5106.166403084091,211568.32799999928,buy
2,5094.458762488848,137189.48400000017,buy
2,5092.059493255174,24778.22399999993,buy
2,5085.2630244286875,87320.48400000017,buy
2,5079.314910690888,196126.5959999999,buy
2,5074.570441432922,40815.179999999935,buy
2,5072.722644320234,958787.2799999993,buy
2,5070.1798685529575,22648.24800000002,buy
2,5067.558124445248,56995.61400000006,buy
2,5065.704782918674,264342.85199999996,buy
2,5055.804323153952,599226.498009909,buy
2,5054.315237045252,25095.96000000008,buy
2,5052.977145290318,172139.68799999915,buy
2,5052.752238052755,51546.14999999991,buy
2,5047.363439720153,937444.8634356596,buy
2,5047.236693908044,283412.4120000005,buy
2,5046.238224252219,78820.99200000009,buy
2,5040.717071370441,22037.77799999999,buy
2,5030.943401716215,76211.49599999981,buy
2,5030.261625816695,26736.300000000047,buy
2,5030.059636031015,77161.96799999988,buy
2,5027.51287332529,1471143.1680000015,buy
2,5019.021460788241,52065.93599999999,buy
2,4991.1225356330615,206472.8879999998,buy
2,4985.576877439861,67051.2599999999,buy
