,firm_count,Emissions_total,Emissions_average,Emissions_std,Production_total,Production_average,Production_std,Credits_total,Credits_average,Credits_std,Cash_total,Cash_average,Cash_std,Compliance_rate
 ALUMINIUM,16,53130865.869,3320679.1168125,4000426.933210161,10261094.4,641318.4,684511.7663915677,0.0,0.0,0.0,1.2596099580308446e+16,787256223769277.9,786095897309913.5,1.0
 CEMENT   ,186,224588719.63799998,1207466.234612903,1370615.8118030843,478554896.70000005,2572875.7887096778,2089163.9044351769,0.0,0.0,0.0,6662179411666550.0,35818168879927.69,29003474121537.02,0.7419354838709677
